Sr. No,Institute Code,Institute Name,DISTRICT,Status,Fees,Hostel,Avg Placement,Highest Placement,Minority,Branch,GOPEN,GOPEN R,GOBC,GOBC R,GSC,GSC R,GST( S & H),GST R,GVJ(S & H),GVJ R,GNT1(S & H),GNT1 R,GNT2( S& H),GNT2 R,GNT3( S& H),GNT3 R,GSEBC (S & H),GSEBC R,LOPEN( S & H),LOPEN R,LOBC(S & H),LOBC R,LSC( S&  H),LSC R,LST(S & H),LST R,LVJ(S & H),LVJ R,LNT1(S & H),LNT1 R,LNT2(S & H),LNT2 R,LNT3(S & H),LNT3 R,LSEBC(S & H),LSEBC R,MI,MI R,TFWS,TFWS R,EWS,EWS R,ORPHAN,ORPHAN R,DEFOPENS,DEFOPENS R,DEFOBCS,DEFOBCS R,DEFROBCS,DEFROBCS R,DEFSCS,DEFSCS R,DEFRSCS,DEFRSCS R,DEFSTS,DEFSTS R,DEFSEBCS,DEFSEBCS R,DEFRSEBCS,DEFRSEBCS R,DEFRNT1S,DEFRNT1S R,DEFRNT2S,DEFRNT2S R,DEFRNT3S,DEFRNT3S R,DEFRVJS,DEFRVJS R,PWDOPENS,PWDOPENS R,PWDOPENH,PWDOPENH R,PWDOBCS,PWDOBCS R,PWDOBCH,PWDOBCH R,PWDROBCS,PWDROBCS R,PWDROBCH,PWDROBCH R,PWDSCS,PWDSCS R,PWDSCH,PWDSCH R,PWDRSCS,PWDRSCS R,PWDRSCH,PWDRSCH R,PWDRSTS,PWDRSTS R,PWDRSTH,PWDRSTH R,PWDSEBCS,PWDSEBCS R,PWDRSEBCS,PWDRSEBCS R,PWDRSEBCH,PWDRSEBCH R,PWDRNT1S,PWDRNT1S R,PWDRNT2S,PWDRNT2S R,PWDRNT3S,PWDRNT3S R,PWDRVJS,PWDRVJS R,AI,AI R
661,3353,"Dilkap Research Institute Of Engineering And Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Raigad,Un-Aided,,A,2-4 LPA,10 LPA,,Civil Engineering,48.6637821,123914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1126,"Takshashila Institute Of Engineering & Technology, Darapur, Amravati",Amravati,Un-Aided,L,,,,,Electronics And Telecommunication Engg,52.0276576,118163,52.0276576,118275,43.4393889,132268,,,33.6953839,145958,,,,,,,,,57.2163252,108736,54.0550229,114837,,,,,,,,,,,,,,,,,59.9791975,104859,1.8201463,178410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0331736,80986
1266,5399,"Sanghavi College Of Engineering, Varvandi, Nashik.",Nashik,Un-Aided,L,,2.5 LPA,5 LPA,,Artificial Intelligence And Machine Learning,50.0353239,121829,48.8696809,123311,18.1287777,164586,,,62.2534756,99743,45.3423263,129595,27.5123271,153892,46.3188381,127802,,,63.2340107,96687,51.2170385,119401,16.7391126,165443,,,,,,,38.5392182,139700,,,48.6138054,124159,,,65.722735,91517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9946164,52324
1449,6182,"Sinhgad Technical Education Society, Sinhgad Institute Of Technology And Science, Narhe (Ambegaon)",Pune,Un-Aided,M,A,4-5  LPA,10  LPA,,Civil Engineering,47.4576949,125962,41.8427081,135058,27.1291039,154852,,,,,,,42.2200941,134295,8.946165,172961,9.6243746,172203,29.1560732,151565,18.4142776,164173,19.1157452,163227,,,30.8566205,149893,,,,,,,47.6302148,125484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6301306,57242
839,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute Of Technology, Nagpur",Nagpur,"Un-Aided, Auto",M,,3.5 LPA,7 LPA,LM - Sindhi,Mechanical Engineering,47.4576949,125949,,,,,,,,,,,,,,,,,39.2350823,138256,,,,,,,,,,,,,,,,,,,55.0733859,112817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.292859,57628
693,3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Thane,Un-Aided,L,NA,2 LPA,4 LPA,,Electronics And Telecommunication Engg,48.6138054,124448,13.7020033,168394,13.7020033,168458,,,,,,,,,,,,,3.9959277,176840,13.0626183,169429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5020163,175709
1960,6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute Of Technology & Research, Akluj",Solapur,Un-Aided,L,,2-3 LPA,7.15 LPA,,Computer Science And Engineering,60.5030966,102177,44.4778985,130493,27.4155342,154204,,,,,38.5392182,139810,55.0733859,112744,,,54.3920183,113562,75.1972801,70054,50.6004122,121282,54.0859766,114481,,,,,,,62.8351694,98301,,,65.5509182,91755,,,77.8250739,63187,5.0033245,176083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3384091,80813
834,4138,"Jaidev Education Society, J D College Of Engineering And Management, Nagpur",Nagpur,"Un-Aided, Auto",M,,3.5 LPA,10 LPA,LM - Hindi,Mechanical Engineering,47.4207012,126245,,,,,,,,,,,,,,,,,46.2784017,128414,,,,,,,,,,,,,,,,,8.946165,172907,56.5649954,110779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1527671,67613
1941,6770,"Skn Sinhgad Institute Of Technology & Science, Kusgaon(Bk), Lonavala, Pune.",Pune,Un-Aided,M,A,3.50 LPA,10.3 LPA,,Mechanical Engineering,50.8618056,120451,27.815423,153352,2.7203264,177803,34.5790896,145247,,,,,,,,,,,47.0113809,126689,25.7846411,155436,,,,,,,,,60.1291862,103961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7200246,70726
930,4175,"Jmss Shri Shankarprasad Agnihotri College Of Engineering, Wardha",Wardha,Un-Aided,L,,2.4 LPA,4.8 LPA,,Mechanical Engineering,42.2216419,133573,22.0578726,160076,22.2282247,159687,,,,,,,,,,,,,41.8427081,135105,14.0490445,168247,,,,,,,,,,,,,,,,,9.2050034,172834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.647753,182209
