Sr. No,Institute Code,Institute Name,DISTRICT,Status,Fees,Hostel,Avg Placement,Highest Placement,Minority,Branch,GOPEN,GOPEN R,GOBC,GOBC R,GSC,GSC R,GST( S & H),GST R,GVJ(S & H),GVJ R,GNT1(S & H),GNT1 R,GNT2( S& H),GNT2 R,GNT3( S& H),GNT3 R,GSEBC (S & H),GSEBC R,LOPEN( S & H),LOPEN R,LOBC(S & H),LOBC R,LSC( S&  H),LSC R,LST(S & H),LST R,LVJ(S & H),LVJ R,LNT1(S & H),LNT1 R,LNT2(S & H),LNT2 R,LNT3(S & H),LNT3 R,LSEBC(S & H),LSEBC R,MI,MI R,TFWS,TFWS R,EWS,EWS R,ORPHAN,ORPHAN R,DEFOPENS,DEFOPENS R,DEFOBCS,DEFOBCS R,DEFROBCS,DEFROBCS R,DEFSCS,DEFSCS R,DEFRSCS,DEFRSCS R,DEFSTS,DEFSTS R,DEFSEBCS,DEFSEBCS R,DEFRSEBCS,DEFRSEBCS R,DEFRNT1S,DEFRNT1S R,DEFRNT2S,DEFRNT2S R,DEFRNT3S,DEFRNT3S R,DEFRVJS,DEFRVJS R,PWDOPENS,PWDOPENS R,PWDOPENH,PWDOPENH R,PWDOBCS,PWDOBCS R,PWDOBCH,PWDOBCH R,PWDROBCS,PWDROBCS R,PWDROBCH,PWDROBCH R,PWDSCS,PWDSCS R,PWDSCH,PWDSCH R,PWDRSCS,PWDRSCS R,PWDRSCH,PWDRSCH R,PWDRSTS,PWDRSTS R,PWDRSTH,PWDRSTH R,PWDSEBCS,PWDSEBCS R,PWDRSEBCS,PWDRSEBCS R,PWDRSEBCH,PWDRSEBCH R,PWDRNT1S,PWDRNT1S R,PWDRNT2S,PWDRNT2S R,PWDRNT3S,PWDRNT3S R,PWDRVJS,PWDRVJS R,AI,AI R
1,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Civil Engineering,88.5013511,34240,85.3822102,42649,77.8445199,62739,65.8812284,91124,81.2928705,54224,88.4426131,34281,85.7455441,41658,87.8945473,35923,75.3516004,69130,88.1228442,35071,83.6467428,47396,83.639399,47557,66.8505265,89332,81.3738935,54046,,,70.8722936,80230,,,55.2318816,112136,,,85.5352459,41891,66.1855163,90204,,,67.0458361,88930,47.9842799,124882,,,,,,,,,,,50.6340761,120638,,,,,,,,,53.7694785,115494,,,27.6622718,153595,,,25.6482713,155782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Computer Science And Engineering,97.3911937,7872,97.0436452,8931,94.1713006,17571,80.5896708,56026,94.3331807,17052,94.4433332,16746,94.5541467,16443,,,94.6903844,15942,96.9066937,9308,96.7545639,9823,94.8376426,15485,84.2430574,45930,,,93.2139295,20457,,,92.0214155,23863,94.8397684,15409,,,98.1177725,5518,95.3932298,13851,86.1764583,40407,90.777366,27598,87.8152279,36001,89.3071786,31634,,,,,,,,,,,,,,,,,,,88.6037289,33711,,,82.7778711,49777,,,,,,,,,,,83.752973,46875,,,,,,,,,,,,,,,,,,,,,,
3,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Information Technology,96.0264086,12001,95.8067495,12727,92.4262209,22810,80.0615027,57428,92.6351162,22090,92.5251996,22548,93.9913601,18106,94.115178,17692,93.871008,18460,96.1687682,11632,95.8198477,12683,92.4273158,22774,78.1496564,62455,,,,,93.1131822,20674,,,93.4764585,19600,,,96.7229568,9964,93.9032684,18299,61.6354671,100069,88.553941,33941,82.1878954,51336,,,,,,,,,,,,,87.1012785,37872,,,,,,,69.2652564,84120,,,57.0470967,109674,,,,,,,,,,,67.6869909,87457,,,,,,,,,,,,,,,,,,,,,,
4,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Electrical Engineering,90.3847828,28736,89.874785,30164,85.3822102,42636,57.0470967,109844,86.2190813,40155,,,85.1704164,43440,76.933232,64967,83.5369475,47938,91.295495,25978,89.8755527,30050,82.7086811,50448,57.414259,107619,85.2662319,43053,88.5172385,34017,,,,,78.4507504,61280,,,90.8058519,27443,82.7820291,49718,70.5215521,80761,83.032746,48986,18.5574725,164128,69.800376,82621,,,,,,,,,,,,,,,,,,,47.0113809,126496,,,27.5123271,153875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Electronics And Telecommunication Engg,94.1713006,17552,93.8694333,18536,88.9034341,32759,72.5041736,76500,88.7742666,33193,91.6557848,24939,92.6335559,22199,89.2671256,31829,92.0214155,23887,95.0167998,15100,94.3331807,17050,90.0992619,29378,49.7949643,122393,82.4751693,50918,,,89.0036224,32583,,,91.6345444,25005,,,95.1705464,14636,92.1089443,23715,,,92.8871646,21433,77.7634641,63680,80.5358903,56268,,,,,,,,,,,,,,,,,,,40.1585977,136974,,,17.776617,164763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Instrumentation Engineering,86.1227045,40780,82.8860671,49279,72.5041736,76436,27.6622718,153584,81.7098306,52977,80.9741447,55013,83.1983982,48697,,,62.795808,98636,83.639399,47564,83.5013309,48233,73.7956676,73240,17.776617,164756,,,,,,,25.6482713,155962,82.1493863,51737,,,86.8242361,38760,80.7858869,55129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Mechanical Engineering,87.0844527,37888,86.2308451,40001,78.956117,60509,57.2163252,108763,80.5896708,56098,79.1318865,59809,83.7440631,47170,81.4941569,53426,75.3410409,69475,85.7455441,41682,82.1493863,51638,78.5613347,61041,40.99476,135907,,,79.6526596,58310,80.2743712,56879,,,80.7858869,55218,,,86.5743889,39326,72.8176141,75778,,,53.7694785,115556,27.6622718,153674,44.8929536,129935,,,,,,,,,,,,,,,,,,,56.0103934,111014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,,,,,,Food Technology,90.6223114,29972,87.9283936,38311,89.8224795,32446,49.9497584,128351,,,,,75.2680452,74203,,,66.8404462,95096,92.9308861,22742,89.8224795,32441,,,,,,,,,,,,,81.7098306,56660,,,,,79.5020906,62942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,,,,,,Oil And Paints Technology,53.7694785,115421,24.5948927,156930,40.1066152,137364,,,33.099972,146620,,,,,,,,,47.9842799,125003,,,,,,,,,,,12.6135136,169752,,,,,,,30.9687071,149457,57.1959853,109124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,,,,,,Paper And Pulp Technology,63.5370419,95351,,,,,,,,,,,,,,,,,17.7533973,164945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,,,,,,Petro Chemical Engineering,62.7216425,99326,38.8849565,138866,44.4778985,130487,,,,,,,,,88.0194481,35481,,,71.7682877,77899,,,20.9331029,161824,,,,,,,,,,,,,,,85.455686,42152,63.2340107,96715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1012,"Government College Of Engineering,Yavatmal",Yavatmal,Govt,L,,5.02 LPA,7.25 LPA,,Civil Engineering,69.8140377,82302,65.2298851,93496,65.8812284,91294,35.5925864,143438,68.2901694,85869,,,57.9919409,106928,,,,,73.4250332,74345,68.7156482,84961,72.1467831,77271,40.1066152,137124,68.7156482,85105,70.6178643,80501,,,,,13.647753,168707,,,73.7743452,73509,34.8002089,145000,,,1.8370822,178396,,,,,,,,,,,,,,,,,,,,,,,,,25.6482713,155989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16006,Coep Technological University,Pune,"University, Autonomous",M,A,12 LPA,87 LPA,,Computer Science And Engineering,99.966611,96,99.8781231,291,99.3417263,1765,97.0354332,8970,99.3392345,1783,99.4300008,1497,99.8028497,451,99.6596408,843,99.8260796,408,99.9376662,168,99.8028497,452,98.8377026,3320,97.8889628,6240,,,99.5366194,1166,99.763043,553,99.7887086,491,99.8889163,273,,,99.983377,52,,,,,99.7670042,544,99.5592791,1112,,,96.769616,9740,,,,,99.5515511,1135,,,,,,,,,,,98.7367021,3651,,,98.0953593,5624,,,,,,,83.5369475,48060,,,,,,,,,,,96.5855308,10377,,,,,,,,,,,,,99.612571,117
14,1012,"Government College Of Engineering,Yavatmal",Yavatmal,Govt,L,,5.02 LPA,7.25 LPA,,Electrical Engineering,74.1162962,72382,70.889365,80050,62.8733646,98097,39.5390798,137836,67.8622856,86859,57.3310702,108062,45.4574846,129143,63.2340107,96611,59.8892661,105126,73.8486985,73003,72.1467831,77303,67.294477,88793,32.1785112,147856,,,,,43.1231034,132801,,,40.7306838,136336,,,80.2743712,56718,43.9565943,131321,,,50.6340761,120726,,,,,,,,,,,,,,,,,,,,,,,,,13.9490359,168308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,3012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,"Govt-Aided, Auto",L,A,19.71 LPA,57 LPA,,Computer Engineering,99.9641545,101,99.9034587,247,99.3776269,1654,96.7627992,9785,99.3166188,1848,99.6256638,922,99.9459751,142,99.889709,268,99.7826622,502,99.947462,141,99.7819468,503,99.2556803,2029,95.2915264,14238,99.3331717,1803,,,99.7002123,721,,,99.6793938,798,,,99.9408384,161,99.8213098,422,95.0451763,14890,99.6757431,805,99.4188513,1530,99.5295277,1205,,,,,,,,,,,,,,,,,,,98.9880111,2867,,,96.4916874,10669,,,96.5185052,10542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1012,"Government College Of Engineering,Yavatmal",Yavatmal,Govt,L,,5.02 LPA,7.25 LPA,,Mechanical Engineering,66.1855163,90328,62.7875345,99029,47.6302148,125460,18.576741,163788,60.596742,101458,,,52.2046883,117610,60.2951569,102512,59.8892661,105086,68.4785771,85358,59.9791975,104595,48.8696809,123130,21.0368242,161304,,,24.7657909,156769,36.6283954,142317,,,40.1585977,136907,,,76.0337773,68011,31.3198919,149107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1101,"Shri Sant Gajanan Maharaj College Of Engineering,Shegaon",Buldhana,Un-Aided,M,,LPA,9.5 LPA,,Computer Science And Engineering,93.9958778,18078,93.7135944,18942,85.7790463,41589,69.7604398,83040,86.803005,38843,,,,,87.5899987,36270,92.4273158,22737,94.524207,16471,94.1728861,17503,89.874785,30192,92.6335559,22180,,,,,,,,,93.0349499,20919,,,95.5193118,13505,91.1269352,26554,,,81.2928705,54110,,,,,,,,,,,,,,,,,,,,,,,,,83.5073164,48092,,,,,,,42.1597155,134645,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0150514,9553
18,1101,"Shri Sant Gajanan Maharaj College Of Engineering,Shegaon",Buldhana,Un-Aided,M,,LPA,9.5 LPA,,Information Technology,92.9153295,21234,92.6335559,22158,84.886137,43901,57.2537563,108501,,,88.7353399,33250,91.9365609,24171,,,88.890236,32858,93.4764585,19619,93.2403522,20321,84.3369649,45612,68.7156482,85188,80.3003309,56577,,,,,,,91.5509861,25328,,,95.054719,14798,89.3907269,31340,,,75.8854903,68189,,,,,,,,,,,,,,,,,,,,,,,,,50.9307179,119927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.2493707,14789
19,1101,"Shri Sant Gajanan Maharaj College Of Engineering,Shegaon",Buldhana,Un-Aided,M,,LPA,9.5 LPA,,Electrical Engg [Electronics And Power],85.3422371,42998,84.3369649,45659,63.7045846,95094,,,54.3920183,113379,75.1972801,69948,,,,,45.5784574,128770,86.7111001,39172,86.3062406,39797,74.1162962,72446,,,,,,,,,45.3423263,129596,,,,,87.4969245,36779,71.3988776,79363,,,25.0606208,156499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1101,"Shri Sant Gajanan Maharaj College Of Engineering,Shegaon",Buldhana,Un-Aided,M,,LPA,9.5 LPA,,Electronics And Telecommunication Engg,89.4907774,30973,87.5899987,36284,79.5235744,58860,3.1374668,177463,79.0646435,60004,,,84.3179513,45736,86.5743889,39316,75.2159961,69801,91.2367752,26425,88.7813022,32993,81.1614491,54424,,,,,78.9173428,60570,89.9248303,29816,,,65.2298851,93482,,,91.5509861,25324,77.7634641,63646,59.3445914,105542,72.2338818,76921,30.4575002,150457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.847542,21832
21,1101,"Shri Sant Gajanan Maharaj College Of Engineering,Shegaon",Buldhana,Un-Aided,M,,LPA,9.5 LPA,,Mechanical Engineering,79.9360013,57808,77.8250739,63254,69.800376,82708,42.2216419,133787,,,78.4440843,61604,74.6830629,70932,62.7216425,99359,43.1231034,132589,79.1318865,59869,78.1973837,62015,69.7604398,83082,17.776617,164743,30.9687071,149331,,,,,,,40.7306838,136131,,,84.2430574,45962,38.8659877,138949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4731237,170818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7022258,36978
22,1105,"Prof. Ram Meghe Institute Of Technology & Research, Amravati",Amravati,"Un-Aided, Auto",M,,4.8 LPA,20 LPA,,Civil Engineering,63.9612515,94924,57.8688386,107296,50.9307179,120140,7.8241614,173884,55.3559436,111595,47.9842799,124784,51.2170385,119385,53.8203081,115221,,,60.546705,101818,57.2537563,108504,55.0733859,112729,14.7377685,167764,42.8773305,133043,46.5102928,126821,49.7949643,122198,44.3676458,130983,27.6622718,153626,,,69.7604398,83207,6.3063439,174949,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6044134,169905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6301306,57176
23,1105,"Prof. Ram Meghe Institute Of Technology & Research, Amravati",Amravati,"Un-Aided, Auto",M,,4.8 LPA,20 LPA,,Computer Science And Engineering,89.3907269,31294,89.1373005,32152,84.6402007,44534,58.1588042,106482,84.0259309,46488,86.0755637,41057,84.3179513,45799,73.8486985,73049,79.4055287,59201,90.8626784,27230,89.3907269,31325,88.0194481,35497,48.777949,123666,75.6212581,68538,89.3071786,31640,89.680975,30739,,,79.9360013,57695,,,93.6711065,19100,83.4700421,48345,,,75.7359803,68310,67.8440824,87098,74.3614357,72095,65.0377535,93902,,,,,,,,,,,,,,,,,23.9858471,158375,,,16.7391126,165513,,,,,,,,,,,,,,,16.2423214,166060,,,,,,,,,,,,,,,,,80.2427627,20345
24,1105,"Prof. Ram Meghe Institute Of Technology & Research, Amravati",Amravati,"Un-Aided, Auto",M,,4.8 LPA,20 LPA,,Information Technology,87.4463921,37080,86.8242361,38680,81.658825,53210,3.4995855,177229,82.7086811,50391,83.5380246,47900,82.5540242,50724,,,70.6178643,80601,88.7353399,33326,87.1298889,37712,81.658825,53189,43.9565943,131375,77.820685,63498,,,84.6087386,44623,75.0114283,70270,63.2340107,96813,,,92.7090329,21921,73.7743452,73651,,,46.3188381,128024,,,,,32.8344132,147315,,,,,,,,,,,,,,,,,3.5587921,177197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7173337,27689
13,1012,"Government College Of Engineering,Yavatmal",Yavatmal,Govt,L,,5.02 LPA,7.25 LPA,,Computer Engineering,87.1298889,37750,86.5743889,39352,83.5380246,47832,58.5786927,106096,85.4082122,42489,86.0863663,40937,83.5369475,47978,,,72.7750912,75843,88.5679854,33797,85.9711131,41125,84.2156613,46149,,,,,,,,,81.3738935,54036,78.5613347,61101,,,91.9393058,24126,82.7820291,49690,,,81.7887587,52692,50.8618056,120452,77.1713278,64762,,,,,,,,,,,,,,,,,,,,,70.8722936,80129,,,11.4128678,170925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1107,"P. R. Pote Patil College Of Engineering & Management, Amravati",Amravati,"Un-Aided, Auto",M,,,,,Computer Science And Engineering,86.1969983,40238,85.455686,42188,80.003358,57488,34.805294,144536,80.5358903,56267,81.9801476,52063,81.7658119,52807,72.1239122,77621,66.8505265,89394,88.7742666,33140,86.1322362,40598,83.4700421,48400,43.9565943,131210,81.0485225,54595,83.7440631,47146,83.5073164,48095,,,70.4817329,81566,,,91.8585895,24366,69.627936,83460,,,54.7526673,113202,17.3380806,165042,24.5948927,156977,,,,,,,,,,,,,,,,,,,52.2046883,117783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1809752,27050
37,1114,"Sipna Shikshan Prasarak Mandal College Of Engineering & Technology, Amravati",Amravati,"Un-Aided, Auto",M,,4 LPA,7.5 LPA,,Computer Science And Engineering,84.886137,43820,84.0259309,46456,80.7413807,55491,27.1291039,154819,76.933232,64941,82.1493863,51706,78.81049,61031,69.7604398,83137,50.6004122,121332,87.1564824,37693,84.5114907,45184,83.5380246,47892,67.5033807,88331,75.2159961,69812,,,80.5896708,56113,,,50.9307179,120115,,,90.8293494,27419,68.0717863,86623,,,57.0470967,109920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1098321,29534
28,1105,"Prof. Ram Meghe Institute Of Technology & Research, Amravati",Amravati,"Un-Aided, Auto",M,,4.8 LPA,20 LPA,,Mechanical Engineering,66.1855163,90207,61.3261708,100589,57.2163252,108773,32.8923205,147032,34.8002089,144920,58.1158577,106892,57.2163252,108708,15.9803473,166619,,,59.9791975,104820,56.0103934,111206,46.3828235,127183,,,36.6611018,142070,45.3423263,129717,41.3261276,135170,,,,,,,69.0659616,84605,3.0027481,177642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2543008,56656
29,1107,"P. R. Pote Patil College Of Engineering & Management, Amravati",Amravati,"Un-Aided, Auto",M,,,,,Civil Engineering,68.1767082,86337,65.9366282,90829,57.1959853,109117,24.5948927,157061,54.7526673,113116,59.9791975,104688,,,,,31.4286926,148854,74.4421543,71460,67.8622856,86797,58.5786927,105977,,,,,,,54.0859766,114568,65.0377535,93748,,,,,73.5848302,73925,39.5390798,137888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6386042,55027
25,1105,"Prof. Ram Meghe Institute Of Technology & Research, Amravati",Amravati,"Un-Aided, Auto",M,,4.8 LPA,20 LPA,,Artificial Intelligence And Data Science,84.7973394,44356,83.7447544,47023,77.8445199,62849,25.0606208,156563,74.4421543,71479,78.1973837,61959,79.5290328,58452,66.0164943,90490,34.2191386,145430,85.3822102,42604,84.2156613,46164,80.2743712,56769,,,57.2537563,108301,72.5041736,76417,75.6212581,68714,,,72.8176141,75677,,,90.7095159,27783,60.8485656,100745,,,36.6283954,142338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1107,"P. R. Pote Patil College Of Engineering & Management, Amravati",Amravati,"Un-Aided, Auto",M,,,,,Electrical Engineering,73.8486985,73115,72.7750912,75953,65.4406319,92421,,,62.8733646,97965,67.5033807,88344,69.800376,82525,,,65.8812284,91255,76.7300255,65872,74.5088207,71296,65.9366282,90822,55.2318816,112025,,,,,,,60.2951569,102627,30.4575002,150584,,,76.7300255,65953,1.5168516,178672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2354795,46149
88,1128,"Prof Ram Meghe College Of Engineering And Management, Badnera",Amravati,Un-Aided,L,,3 LPA,6.5 LPA,,Computer Science And Engineering,83.1469549,48931,82.0158422,51884,77.7634641,63717,7.5978015,174165,82.1493863,51756,81.8151897,52425,80.6344635,55784,,,25.6482713,155954,84.0259309,46415,83.1983982,48729,76.7997668,65409,55.3559436,111632,,,,,,,57.1959853,109120,41.8427081,134950,,,86.803005,38859,57.9919409,107128,,,57.8688386,107278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5628064,32502
33,1107,"P. R. Pote Patil College Of Engineering & Management, Amravati",Amravati,"Un-Aided, Auto",M,,,,,Mechanical Engineering,64.4664266,94584,62.795808,98674,57.414259,107809,,,45.5784574,128634,63.0759599,97102,60.2921536,102879,13.647753,168671,,,68.7156482,85007,63.7045846,95227,53.7694785,115640,,,,,,,,,,,,,,,69.2652564,84222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4858883,167287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6301306,57209
38,1114,"Sipna Shikshan Prasarak Mandal College Of Engineering & Technology, Amravati",Amravati,"Un-Aided, Auto",M,,4 LPA,7.5 LPA,,Information Technology,82.7086811,50318,81.9801476,52018,76.7300255,65718,6.4656331,174837,75.3516004,69273,81.3738935,53862,78.5613347,61095,69.627936,83540,4.1087911,176732,83.4009466,48539,82.7820291,49596,78.5613347,61116,58.5786927,106145,,,81.7658119,52891,,,73.1237323,74809,13.2387508,169107,,,88.5679854,33796,60.596742,101374,,,13.0626183,169449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6174754,33580
998,4649,"Bajaj Institute Of Technology, Wardha",Wardha,Un-Aided,M,,3.0 LPA,7 LPA,LM - Hindi,Computer Engineering,82.1766955,51541,,,,,,,,,,,,,,,,,84.4941393,45367,,,,,,,,,,,,,,,,,11.0205778,171340,90.8058519,27489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7256174,28877
36,1114,"Sipna Shikshan Prasarak Mandal College Of Engineering & Technology, Amravati",Amravati,"Un-Aided, Auto",M,,4 LPA,7.5 LPA,,Civil Engineering,60.2921536,103117,58.5786927,105967,54.0859766,114252,,,42.8773305,133094,,,,,,,,,62.8351694,98383,60.1504384,103830,51.2783205,118869,,,,,41.8427081,134915,42.725346,133551,46.3657898,127597,,,,,68.4785771,85398,17.3380806,165105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6296012,58364
27,1105,"Prof. Ram Meghe Institute Of Technology & Research, Amravati",Amravati,"Un-Aided, Auto",M,,4.8 LPA,20 LPA,,Electronics And Telecommunication Engg,82.1493863,51746,81.4941569,53508,72.8411223,75509,46.3828235,127155,71.4038201,78867,80.2358012,57006,75.8854903,68220,,,13.9490359,168316,83.1983982,48778,82.4585869,51048,71.353144,79434,,,74.2767378,72287,82.4751693,50808,76.5963466,66272,66.1855163,90320,,,,,86.1764583,40353,51.2170385,119360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4622994,36070
58,1120,"Jawaharlal Darda Institute Of Engineering And Technology, Yavatmal",Yavatmal,Un-Aided,L,,,,LM - Hindi,Computer Science And Engineering,80.7413807,55547,,,,,,,,,,,,,,,,,85.9711131,41170,,,,,,,,,,,,,,,,,5.0055145,176034,89.1051648,32310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0308535,20521
39,1114,"Sipna Shikshan Prasarak Mandal College Of Engineering & Technology, Amravati",Amravati,"Un-Aided, Auto",M,,4 LPA,7.5 LPA,,Artificial Intelligence And Data Science,80.5929134,55899,79.5290328,58540,73.112247,75031,57.8688386,107405,,,72.1467831,77347,,,65.5460439,92075,46.3188381,128002,81.4941569,53420,81.2928705,54215,74.4421543,71449,,,57.0470967,109919,,,67.8440824,87271,,,,,,,82.7086811,50327,42.2216419,133622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1107,"P. R. Pote Patil College Of Engineering & Management, Amravati",Amravati,"Un-Aided, Auto",M,,,,,Electronics And Telecommunication Engg,80.4298831,56381,78.9173428,60534,69.2652564,84195,0.3699835,179383,62.8733646,98035,,,,,65.2298851,93454,1.218769,178811,81.658825,53321,80.2743712,56883,69.275473,83957,,,47.0113809,126687,67.5033807,88278,73.8893284,72844,,,,,,,85.8632396,41436,38.7773761,139563,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8656299,171385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.223538,40173
41,1114,"Sipna Shikshan Prasarak Mandal College Of Engineering & Technology, Amravati",Amravati,"Un-Aided, Auto",M,,4 LPA,7.5 LPA,,Mechanical Engineering,60.8485656,100739,60.1504384,103726,54.3568289,113592,,,,,57.8688386,107384,53.7424491,115922,,,,,60.6237408,101176,57.2163252,108727,55.2318816,111922,,,21.6221843,160343,,,,,51.1396363,119734,,,,,68.1767082,86412,10.8656299,171483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7566256,58238
42,1116,"Shri Shivaji Education Society'S College Of Engineering And Technology, Akola",Akola,Un-Aided,M,,,,,Civil Engineering,43.9565943,131209,38.8849565,138762,27.4048925,154311,,,42.8773305,133107,43.1231034,132606,34.805294,144558,,,,,55.1151268,112466,47.0113809,126632,45.3423263,129667,,,,,,,11.9971742,170119,34.2191386,145403,,,,,63.2340107,96449,0.2281947,179487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8279581,75792
43,1116,"Shri Shivaji Education Society'S College Of Engineering And Technology, Akola",Akola,Un-Aided,M,,,,,Computer Science And Engineering,73.7956676,73222,72.2338818,76971,65.2878345,93215,10.8656299,171492,72.8176141,75662,70.8722936,80388,69.0659616,84662,51.1396363,119647,20.7289199,162006,78.9173428,60535,73.5848302,73792,69.800376,82585,47.9842799,124983,,,55.8763225,111496,,,,,30.4575002,150543,,,80.7840564,55388,57.0470967,109604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5678435,44638
44,1116,"Shri Shivaji Education Society'S College Of Engineering And Technology, Akola",Akola,Un-Aided,M,,,,,Information Technology,70.889365,80053,66.1855163,90246,60.2951569,102573,,,59.0509185,105796,,,,,66.8404462,89693,37.2130338,141199,71.716606,78180,70.5215521,80772,63.5370419,95362,,,56.5649954,110927,,,,,,,,,,,80.003358,57594,49.6193645,122521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4801079,175823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7517536,53742
